gene,anomaly_score
APOE,0.0007820978
IGF2R,0.0007810927
DNMT1,0.00078003184
CXCL14,0.00077747507
AP4M1,0.0007774549
GRAP2,0.00077631
CMPK1,0.00077426544
DNAJB1,0.0007736119
CELF2,0.00077304617
FBP1,0.0007726757
TNIP2,0.00077240815
TNNI3,0.0007705984
YIPF5,0.0007676694
UBAP2L,0.0007675659
EXOSC5,0.00076608255
KRT37,0.00076559803
ATP5MPL,0.0007647709
SUPT7L,0.0007640987
ARPC4,0.00076386344
ALKBH4,0.0007637819
EXOC1,0.00076207076
NOP56,0.0007617126
COL9A2,0.0007603845
UBXN1,0.000760171
HPCA,0.0007594441
POLR3E,0.00075918494
PHTF1,0.0007588871
CHTOP,0.00075888203
APH1A,0.0007578302
APOF,0.000757644
KLHDC4,0.00075613166
SMPD4,0.0007559168
RPLP0,0.00075475895
ECH1,0.00075391796
SLC25A21,0.00075389753
IL18,0.00075246167
FGF7,0.00075242383
SIT1,0.00075242197
HSPA6,0.0007512131
SRCAP,0.00075092685
HNRNPU,0.0007496776
CLDN3,0.000749265
PRRG2,0.0007485651
NENF,0.00074842974
TRMT2A,0.00074808294
CASP6,0.00074597914
SPOCK2,0.0007441347
TRIM2,0.00074382377
DDX11,0.0007436825
CXCR3,0.0007432701
OXA1L,0.00074307754
PDE6B,0.00074257783
THOP1,0.00074225594
ARHGEF16,0.0007390634
ADRM1,0.0007376365
SFSWAP,0.0007366936
DEDD,0.0007365904
ANTKMT,0.0007365058
LPAR2,0.00073634455
HEY2,0.0007358569
TGOLN2,0.00073275925
FAM53B,0.0007325895
RGS10,0.0007323777
PDHB,0.00073145144
SDCBP,0.00073003746
VOPP1,0.00072951586
F13A1,0.0007292037
MUS81,0.00072916
PSMB4,0.00072855206
TIMM10,0.0007273669
FOXJ1,0.00072718406
ZBP1,0.00072691945
NARF,0.0007267196
TWIST1,0.00072530337
GP2,0.00072483084
DHRS1,0.00072444073
SLC9B2,0.00072390586
SEMA7A,0.00072382984
UNC13A,0.00072375877
ZNF675,0.00072289974
PRKCSH,0.0007221989
RUVBL2,0.0007217239
DTX2,0.00072143105
CRIP1,0.0007209592
ANP32A,0.0007205873
UBE2D3,0.000720444
KISS1,0.00071933185
CCDC87,0.0007182497
BCLAF1,0.00071733876
RPS6,0.0007169286
DHRS4L2,0.0007166011
ACIN1,0.0007159999
CBX4,0.0007158347
RGS19,0.00071560085
H4C9,0.00071544555
CDKN2A,0.000714844
HMGN2,0.000714782
CSNK1G2,0.00071450643
PGC,0.00071442826
