gene,hazard_ratio,p_value,fdr,mean_expression,sd_expression
UPF3A,0.839764587,0.219835192,0.447823585,128030.2847,54743.42308
ZBBX,0.804613287,0.124719095,0.33100886,1872.366568,7729.394707
ROR2,0.852108276,0.258360799,0.486878207,93313.24826,64207.26441
AR,0.768588056,0.063878451,0.234637736,341393.5339,287588.7123
HSPBAP1,1.149209603,0.327143498,0.554909182,38110.77328,17159.60895
ASMTL,0.72193534,0.022770934,0.139577656,238363.5467,123200.9271
SLC25A6,0.835254998,0.203542178,0.427785359,4340239.162,2579445.968
PARM1,1.162482054,0.290097979,0.519214959,186387.4037,223510.8398
CSNK1G1,0.92501301,0.581295797,0.758968019,96028.39724,42545.05871
FAM110B,0.843613083,0.231408227,0.45996285,126643.843,118958.8781
ARMC4,0.870836364,0.328077345,0.55586924,5730.141784,35396.4096
ZNF354A,1.03648744,0.80148653,0.896647294,121646.9546,50841.58625
ATF5,0.627982664,0.001323745,0.04045438,413725.9145,258615.5077
UBE2V2,0.9849675,0.914898905,0.957259079,242110.2756,136256.1657
ZBTB43,1.328266325,0.050233312,0.205924216,72171.25382,26545.39112
XPO6,0.825655634,0.180818881,0.401962231,383532.6696,125439.0463
MN1,1.015641296,0.912482883,0.955561813,41347.79758,48121.63089
APEX2,0.937387942,0.649207263,0.803878582,304805.2375,145668.8313
IL13,1.20656011,0.187584073,0.409468505,464.3204682,957.8120899
NPIPB12,0.892035523,0.420203058,0.63667057,1745.261133,2391.941864
RAB3B,1.042461181,0.768927404,0.875618254,14255.05427,31362.01446
CD2BP2,0.887468826,0.405955831,0.625490701,545540.3679,251011.9461
RGS14,0.617837501,0.000959994,0.036380466,114764.0556,76778.85407
TBC1D10B,0.871811507,0.335643063,0.562644069,271255.2751,97209.8073
LMAN2,0.88145713,0.377868079,0.600943213,1742072.794,932127.9661
THBS3,1.032328457,0.821927537,0.90756855,232503.625,180893.0572
CA5B,1.810349894,6.35005546298111e-05,0.013586734,33795.53527,21517.10186
SLC50A1,0.729543412,0.029264604,0.158742847,949613.1227,649227.4375
EFNA1,0.663617852,0.004327326,0.06534215,1210552.157,795931.6113
CXCL10,0.685311307,0.00918121,0.090605429,1034244.059,2442229.43
NPIPB3,0.85736297,0.279816248,0.510721987,7849.993388,7297.080321
SH3TC2,1.062293587,0.670495902,0.81912921,2856.511098,4012.155781
CXCL11,0.700604343,0.013635498,0.109527933,171799.6819,346172.5884
ZRSR2,0.628324504,0.001390951,0.041314994,196265.0399,75210.98426
NMD3,1.3531286,0.034657472,0.17291547,300017.5513,108479.5889
ADRB2,1.115662963,0.443851078,0.655875281,28336.55795,44771.71498
B3GALNT1,0.992802046,0.959285829,0.980536601,173551.3008,102189.8754
KCNAB1,1.277796697,0.086089995,0.274819634,19213.67414,23508.77315
IL1RAPL1,1.101907697,0.494588625,0.696619118,1075.811192,4800.241432
MINAR1,1.152593223,0.315177277,0.54337965,9772.520153,10281.48224
UMOD,0.732798908,0.029065582,0.158529216,2909.402998,6377.367199
GP2,0.749698538,0.045098516,0.196108103,244370.174,932240.3354
SLC33A1,0.972568426,0.844089937,0.921872188,123465.3082,51266.73184
SNUPN,0.741979102,0.037016913,0.179501588,118496.4592,42420.9713
CRADD,1.618003097,0.000777747,0.033005513,43877.96399,19670.60653
RNASE2,0.879750568,0.364651152,0.588946931,21699.91384,51799.7983
RNASE3,1.063702029,0.662942319,0.813132108,1127.129576,1903.609942
PTK2,1.168146603,0.273854804,0.505285519,254450.5355,122700.2846
RSPH10B2,0.87714014,0.355997126,0.580707971,191.8496306,271.1397656
PTAFR,0.933056241,0.626441675,0.788120867,93693.23453,72482.08733
PTPN9,0.908209917,0.496303967,0.697653332,140375.3032,43587.31894
RNASE6,0.937556649,0.653799124,0.80650792,294146.138,206874.6439
NPR1,1.327212051,0.049468915,0.204445249,91989.96036,217717.6425
CXCL8,1.135617931,0.370769096,0.594459894,61479.09833,154692.8017
SCN9A,1.413042702,0.017063689,0.121942723,3298.021958,5775.578302
SDC2,1.117530673,0.433830162,0.6480316,627926.7573,735735.5221
CD52,0.573759034,0.000129024,0.01695409,689727.1587,5364262.783
PLEKHA2,1.396060622,0.022031738,0.13757318,140025.7968,115640.9137
CLIC4,1.505838119,0.004881482,0.068160289,1254505.471,677727.5162
GPR183,0.889432478,0.414769674,0.632807858,163229.8103,162220.5175
CT55,1.084438249,0.566126964,0.747968182,359.9449078,1212.909238
ZEB2,1.318873848,0.058039728,0.221995772,49011.46923,45926.94936
GJB1,1.276718401,0.086456785,0.275481306,53326.63765,135080.0541
PCBP1,0.835721632,0.210279082,0.43603153,2209150.968,635536.1165
HINT1,0.759100232,0.053731054,0.212759486,1946083.662,891530.5041
CLIC3,0.616828188,0.000938202,0.036012013,106812.5369,228630.6868
BNC1,1.054636743,0.708364487,0.841960753,8272.982699,42813.09635
DFFB,0.945067459,0.689527793,0.82991706,38479.84602,15696.32972
NFU1,1.277375436,0.087747829,0.277024834,294452.2152,120206.3356
ANTXR1,1.383319537,0.022285071,0.1382269,698754.5091,598567.7562
BOLA2B,0.759794712,0.057961857,0.221881219,8006.557632,11219.37511
RGPD8,1.243166417,0.128724436,0.335883812,3876.668074,2757.815698
HIC2,1.222302761,0.156012206,0.371468977,19772.98239,9788.427998
LUZP1,1.288807411,0.076098508,0.258196706,108554.2811,47228.68995
BUB1,0.93184871,0.617803417,0.78336866,99645.70038,97140.92399
CHRNA5,0.934361935,0.630683451,0.791317362,14417.29384,19832.06989
CENPX,0.793369698,0.106889636,0.304829874,635061.7347,520487.6934
AGPAT2,1.309100272,0.057701587,0.221430836,873135.8403,1106826.559
ASPSCR1,0.71036182,0.019091524,0.127961426,63928.87485,44438.29676
FASN,0.795624317,0.110240381,0.309453596,2805732.852,3555461.816
CNBP,1.080504612,0.585365493,0.76167465,3941378.73,1099411.783
MT1E,1.330319047,0.046863656,0.198894825,725623.2976,1016269.781
DUS1L,0.630179342,0.001684164,0.043879002,368798.121,277624.1092
GPS1,0.696758292,0.013077012,0.107717024,398723.6447,219514.3742
RFNG,0.803851196,0.12594274,0.332293461,229993.9523,139586.1652
DCXR,0.795724946,0.113773438,0.314378765,986336.4415,1127157.252
ZNF32,0.784411805,0.090019721,0.280224525,595831.0316,262092.1652
LDB2,1.252579268,0.117283426,0.319581532,80067.28734,79928.53386
RAC3,0.816544137,0.156916778,0.372319318,313534.6027,321453.1325
LIMS1,1.142236763,0.352489321,0.577169633,211790.6597,95592.43283
NLGN1,1.250150081,0.12138179,0.325752047,2918.711146,7268.731565
TAPT1,1.214637842,0.17032552,0.389753022,122331.1747,65274.70109
UGP2,1.633347513,0.000803381,0.033260531,485296.2772,339928.2842
HNRNPF,0.86439476,0.305318439,0.534832477,2206529.174,705740.5244
BTD,1.197706997,0.202722019,0.426809733,175878.0247,93582.97562
CSGALNACT2,1.145465987,0.340619915,0.567080724,212102.2551,87799.67464
TACR3,1.112442941,0.450634379,0.662336657,833.8931621,2203.620046
PCDH7,1.058193758,0.689595241,0.82991706,46106.38074,46144.00927
ROBO1,1.191518016,0.218061347,0.445595609,87197.71901,89136.34686
AVEN,0.989404041,0.940267108,0.971599371,139808.0951,66195.0423
P2RY1,1.147473644,0.332983952,0.560178542,10870.25069,12446.42693
CTNND2,0.87396386,0.341421076,0.567867922,54318.22535,72248.90826
TRIM56,1.089138842,0.54956511,0.736551288,181056.8619,66676.55897
WNT10B,1.035986772,0.802221461,0.896866498,7242.220393,14927.50341
REPS2,0.845743856,0.237796502,0.466805027,148576.7692,221577.1737
MUC3A,1.330985957,0.046027319,0.197664035,3256.758936,14293.44258
ITGAM,0.755531278,0.053415927,0.212416165,92968.3541,106486.0656
TPST1,1.23873854,0.133059826,0.341520219,118226.6318,78783.45393
TM4SF4,1.557201902,0.002406266,0.05079375,2769.517624,20949.69006
TOR1AIP2,0.804497684,0.126579076,0.333234853,117158.619,47355.96564
S100G,0.79480754,0.106139956,0.303554749,98474.43676,1094698.415
TM4SF1,1.253202375,0.114648619,0.315966507,1981008.233,2232828.178
OTUD3,1.552060981,0.002373318,0.050576699,48600.22664,25549.78981
GUSB,0.686077651,0.008733385,0.088427868,713793.749,1073546.738
BRD3,0.999959542,0.999771466,0.999872606,171132.105,69956.36426
KLF13,1.573578134,0.00176074,0.044412645,203137.2637,103025.5902
FRMPD4,1.173393249,0.260377414,0.48892553,381.3159129,1216.339603
ZFPM2,1.519303859,0.003884433,0.061992147,23234.29714,21935.2641
ZNF764,0.858972619,0.289731407,0.519118265,86962.11225,37024.53306
ZNF747,0.719133227,0.020981999,0.13412435,117369.6715,54233.03231
ZNF768,0.780489272,0.08388317,0.271357677,639785.2507,336045.4514
MAP3K2,1.213020035,0.176054603,0.39642918,158927.1534,66574.15093
SF3B5,0.9814521,0.894888213,0.947312049,2190258.955,1324515.745
ZNF35,1.074904774,0.611583608,0.779569194,73989.59816,25498.64443
CHD3,0.950651366,0.723699598,0.851058056,490288.5157,205099.6298
MYRIP,1.052722765,0.717077904,0.846968843,22758.87501,23052.6743
ALCAM,0.800094612,0.115715589,0.317794294,744484.3607,719963.6812
UBE2E3,1.406925647,0.02015635,0.131764916,305696.3582,203357.9837
KCNAB3,0.901615822,0.464821235,0.674665449,6779.67876,11357.16518
FAM153A,0.860564518,0.287496176,0.517483867,538.6294468,1585.19505
GPR37L1,0.766137456,0.061184515,0.22846796,5356.936699,21546.35238
NSG2,0.955419854,0.748600686,0.864358519,30174.80851,281963.0468
SERPINA6,0.907299816,0.491440911,0.694369936,557263.8971,2819638.782
ZNF778,1.538196445,0.002825628,0.054567125,22231.12725,12816.22742
FOXD4,0.845078031,0.238277362,0.467164294,6662.168661,6923.796539
GPR25,0.600604552,0.000446492,0.028386103,2444.607546,5030.154528
UBE2E1,0.939813688,0.661109133,0.811952424,552703.0097,166034.984
HNRNPA3,0.758957469,0.052630048,0.210467963,1082386.118,293858.8368
SIK2,1.266012567,0.101221015,0.296228855,150793.5502,212268.5179
CCDC144A,1.349679681,0.038407081,0.182632974,1513.172514,4647.158712
CHRNB1,1.195497265,0.207229276,0.432228212,50037.13732,48880.17583
SLC16A5,0.966952637,0.811933451,0.901907883,102908.291,75707.10961
ADRA1B,1.651304171,0.000573729,0.029683426,17325.66638,37878.57938
ADPRM,1.165822548,0.282358865,0.513144366,90361.00324,36431.96715
FABP6,0.906545309,0.489489977,0.693233873,19628.48807,68332.40048
USP47,1.404663181,0.018857112,0.127360486,209876.7594,66807.96407
PDCD6IP,1.140705273,0.352992693,0.577674157,467461.7639,141045.4827
ZNF212,0.647310543,0.002641499,0.05296042,128637.5687,45320.33168
ZNF282,0.741701547,0.037338928,0.180494893,230541.8539,90538.71745
GLB1,0.942599436,0.676674165,0.822720907,418108.959,164425.8354
FAXDC2,0.956041388,0.750543618,0.865609788,105422.9456,151908.2833
CRTAP,1.360678321,0.030933831,0.162933307,637428.834,329215.9495
HSPB2,1.04921053,0.734490255,0.857318982,26101.98688,47882.6214
CNGB3,1.101742299,0.494229884,0.696357234,901.8594463,2523.254161
SLN,0.779644085,0.08176346,0.268322704,78264.29514,2433845.546
ELP5,0.980324469,0.888158693,0.944008978,210447.6508,85682.81931
GABARAP,0.982338517,0.899646377,0.949221407,616684.6363,211096.4301
STX8,1.043512899,0.763065713,0.872548507,145498.7145,63766.20244
CDK1,0.943007899,0.6806852,0.824636457,260799.8773,249539.8466
UBB,0.785475918,0.092272047,0.282613829,6639615.335,2566724.545
NFRKB,1.342640252,0.03992832,0.185596054,132332.2252,47775.66674
FABP4,1.198192568,0.208359338,0.433566749,3381685.626,12565562.61
PRDM10,1.295631493,0.069943519,0.246443368,46865.47094,14971.86375
B3GNT2,1.367687061,0.029871639,0.160375179,385465.1243,171212.3881
FOS,1.171096391,0.270092569,0.501097157,2548432.272,4598582.978
TMED10,0.821032886,0.163916352,0.382545325,1778079.987,582975.165
SETMAR,1.152154908,0.319740477,0.548008284,170920.1031,70346.72258
SMAD1,1.160030208,0.296158942,0.525813694,102367.7242,53458.60644
CST5,0.856432536,0.275462095,0.506513113,350019.1874,2893955.843
CST2,0.588794482,0.000351955,0.025176211,109862.8396,697322.7219
EMX2,1.205441768,0.189492873,0.41168102,10182.94718,12197.56301
CST1,0.630873775,0.001512345,0.042126136,325444.5232,663351.6672
SEMA3E,1.160066619,0.295831317,0.525438544,45198.46446,62086.38656
LRRN2,0.763866197,0.058597831,0.223255334,128483.4751,137166.3585
SLC30A1,1.116103136,0.437816953,0.651615466,294138.2284,197116.2239
ZNF804A,0.870827087,0.332053488,0.559557367,3149.673696,12736.02981
GPRC5C,0.896211228,0.442134605,0.654695058,130574.5925,126458.1228
KRT8,0.861744724,0.298782981,0.52799115,5733332.076,5547805.365
ADORA2B,0.899794751,0.455047899,0.666147828,30264.87065,36246.69181
MGMT,0.86733868,0.315911216,0.544024315,207615.0439,145120.1985
KRT86,1.215904765,0.168140655,0.387171882,70391.98721,371654.1028
HARS1,0.813053562,0.153090477,0.367350294,160617.0252,49050.81828
KRT75,0.826643671,0.181238399,0.402238114,18150.20017,145629.9722
DENND5B,1.062405729,0.669981252,0.818889884,30585.08141,23001.92143
CD14,1.211664402,0.17782263,0.398340456,885504.0837,1682673.466
RIOX1,0.68117747,0.007850416,0.0840766,176097.9092,65888.83248
RALGAPB,1.02678619,0.852550245,0.926008977,234556.5181,145597.4552
MZB1,0.646203785,0.002456236,0.05137272,269768.582,642949.8906
KRT4,0.956214385,0.752114384,0.866264366,60896.07911,745386.8769
NPAS2,1.084185348,0.567380008,0.74868683,40509.36595,43474.89155
KISS1,0.692112182,0.01063045,0.096843637,10182.86232,50505.28221
NUDT9,0.666312719,0.00531651,0.070783352,261076.6147,120050.5787
PA2G4,0.813715209,0.1482034,0.36122149,889573.5306,383005.8917
ELOVL6,1.098853445,0.50554561,0.704338007,73933.69055,107077.3183
KRT83,1.185965905,0.231033644,0.459585328,13100.82151,99800.87091
PFKFB3,1.470936139,0.007388896,0.082326605,655662.7642,882833.6362
TMC7,1.824506266,3.54094344594451e-05,0.012774609,20570.64504,18153.183
ARL6IP1,0.814371018,0.148904796,0.36197669,2100590.26,1036555.823
SERPINB9,0.996979852,0.983073412,0.991604045,91263.24005,72385.18727
SMAGP,1.046223551,0.750702837,0.865628253,90207.99697,63008.84016
CDH2,0.843211445,0.229932005,0.458763493,57761.63072,276477.8833
SIX2,0.837857757,0.212981907,0.439075421,93336.37403,182718.0909
DLGAP1,0.936696003,0.64327963,0.800129754,14254.19302,31102.08814
STAT2,0.943954885,0.687188983,0.828836437,455543.2393,175984.6724
IRF2BP1,0.654892103,0.003917591,0.062233579,298478.7407,156165.9758
HSPA4,0.959801036,0.771951411,0.877419345,838077.3212,336706.2001
SGCD,1.217355302,0.166285744,0.385027457,46603.96494,42896.81089
ZNF16,0.925161089,0.586234132,0.762287234,73306.35016,31243.77123
RNF34,0.807615654,0.135282417,0.344663676,176527.3888,54382.99965
ACYP2,1.411708601,0.017163409,0.122380484,50544.76938,28273.68285
TRABD,0.790881853,0.102759173,0.298615211,285692.5423,197065.6188
ATF7,1.373720245,0.028579421,0.157329973,161857.2383,54679.31961
RASA4B,1.027946753,0.845313445,0.922726341,523.0952384,658.9923457
SOCS6,1.265974804,0.097234765,0.289453601,202064.9889,126048.0504
HOXB9,0.787888494,0.094117164,0.285087043,23295.14881,97492.33933
POLH,1.22986551,0.14560693,0.358063414,151657.7937,83169.68889
KCNS3,0.848746397,0.24685327,0.474540972,256633.7175,266468.7372
KIF5B,1.561941082,0.002147639,0.048598247,1005936.096,418607.0028
GPR37,0.908617887,0.497806411,0.698216234,36978.35912,41509.58976
AKAP13,1.019293033,0.893680033,0.946862219,162449.4823,94439.60736
CDCA4,0.623981268,0.001226576,0.039402692,187301.8251,117704.0966
CHCHD7,1.492249365,0.005207041,0.070097903,94000.57396,67984.92023
FOXN2,1.358786538,0.036808294,0.178705004,75077.49553,55613.61467
BFSP2,0.610208909,0.000614517,0.030213282,5155.963919,17252.34392
USP32,1.039829587,0.782091667,0.884278541,181149.5226,226102.7243
CEL,0.978837746,0.87981322,0.940193548,46159.03713,543634.6122
PPM1D,1.492503077,0.00561283,0.072261446,107993.8324,91274.38198
GPR27,0.667550223,0.00457975,0.066543991,98329.479,68770.43129
KBTBD2,1.340425546,0.043340238,0.193042829,274191.9027,100289.932
RIOX2,1.639584969,0.000665234,0.03085594,91142.47327,48041.9156
TRIAP1,0.880217878,0.372208045,0.595818731,432177.7611,167583.216
LSM3,0.760577127,0.057008049,0.220366721,294464.9665,119991.3752
KIAA0232,1.332468329,0.044599903,0.195564562,215539.4066,100175.9545
MTSS1,1.014654702,0.918119745,0.959470055,227271.6493,254345.3901
TMEM43,1.82996347,5.65132466330955e-05,0.013586734,738131.9016,288724.3912
RNF139,1.32836094,0.046202485,0.198064485,565228.1527,334412.7601
RPS9,0.668047673,0.004840229,0.068102641,3279542.464,2153773.061
PLA2G1B,0.758802748,0.051719038,0.208534067,3757.403259,5790.996233
CYTL1,1.74411455,0.000163567,0.018596863,30169.32011,40042.66096
TSEN34,0.734190966,0.031380951,0.164226979,397566.9825,209055.0146
TRH,0.791329592,0.100322156,0.294969032,282091.9483,2601849.247
GSTA4,1.716827066,0.000230264,0.022269317,226368.2626,208356.0726
NDUFA3,0.689711539,0.010807428,0.097646488,414880.4382,340632.8177
NUDT6,1.110164622,0.46076683,0.671562909,10364.79391,5998.411779
TANC2,0.810954482,0.14232187,0.353872703,83954.10636,74512.90082
DNAJC24,1.486040801,0.006484588,0.077233677,31192.12929,11889.00102
ZNF160,1.323190506,0.052323576,0.209735083,93587.74479,39939.10278
ZNF415,1.193521781,0.215975429,0.44320607,73212.67616,34947.05263
CAVIN3,0.995273146,0.97333455,0.987051537,229613.5356,243490.9009
CEACAM3,1.137660342,0.364971864,0.589386169,1048.956678,2110.31273
HAS2,1.004212929,0.976364021,0.98848751,37234.48392,63052.84387
PDGFD,1.240606323,0.131198899,0.339192362,158881.9431,149021.7048
PLAC1,0.743394998,0.03860422,0.183086077,16864.74209,40102.95048
S1PR1,1.316316724,0.057760279,0.221430836,227966.0178,246324.6848
PYGO1,0.992191428,0.955836971,0.97939509,17745.98472,17008.96284
LRRC8E,0.943175064,0.680019607,0.824434904,12241.218,7655.977146
PKIA,1.075315313,0.611413756,0.779508916,55283.16037,308394.7987
FPR2,1.142011699,0.347845504,0.5722026,2717.161145,6641.571731
FPR1,1.120481928,0.426115093,0.642099955,54046.45761,50293.04584
FEZ2,1.322300077,0.050209808,0.205897682,117685.0649,61799.18799
C11orf24,1.011724694,0.934380061,0.968549335,339613.265,165432.4683
ALK,1.488537949,0.005789971,0.072848061,1977.349376,5640.550416
KYAT1,0.824828796,0.174667386,0.394830596,39520.22527,45811.86583
MTM1,1.4251603,0.013397171,0.109136385,106785.5877,40773.83645
OBP2B,1.075120134,0.610422628,0.778828407,163687.3755,493404.6699
TRMT61B,1.434505346,0.011359589,0.10023801,125184.8711,36921.08868
INSR,1.100997984,0.496628189,0.697784539,275170.177,183732.3982
MFN1,1.307531035,0.059320665,0.224804865,221355.1336,98629.88303
HSFX1,1.039354124,0.784893878,0.886419969,766.9442639,946.5654661
NRTN,1.006058295,0.965888839,0.983261503,31152.53935,68496.96866
KCNMB3,0.897589484,0.44575679,0.657806865,8659.769601,7017.218859
FUT3,1.069185728,0.636750846,0.795570914,40892.96021,96307.42362
ATP6V0E2,0.634623937,0.001731986,0.04428886,459088.8034,342619.3244
PRKCE,1.097258024,0.51490859,0.712067695,33285.03706,22240.6957
TADA3,0.751035835,0.047027181,0.199234422,510547.5921,211132.2823
SOCS5,1.36736523,0.031309234,0.163993643,173192.3441,83173.75002
C1GALT1C1,1.324187858,0.047390881,0.200247593,409517.3218,163125.4058
C9orf16,0.696230884,0.01209719,0.102981962,523021.2408,388173.0864
ZNF672,0.69864291,0.013574786,0.109258046,290164.4797,123072.1931
ZNF692,0.7616257,0.057056301,0.220438998,184868.5474,142057.2633
RBKS,0.785214322,0.090522384,0.280707229,47232.62675,24040.16108
GRIK1,1.418450134,0.015738126,0.117081253,9254.940586,67030.80636
MUC7,0.997705076,0.98703545,0.993201942,10917.59413,110796.0466
OPRPN,0.949648041,0.714821206,0.845453034,220012.7202,3991720.008
TMEM126B,1.340299842,0.041708238,0.190011236,241338.9146,98235.0502
TRIM8,0.984854878,0.914032092,0.956898434,912453.051,353825.9055
NETO2,1.102164326,0.493068894,0.695613241,61348.91863,95103.35655
SCAND1,0.69819811,0.01308037,0.107717024,486122.1917,525487.6293
JUNB,1.01893545,0.894483302,0.947160519,2070710.757,2357356.037
SHCBP1,0.963576194,0.7931267,0.891068283,60906.70442,54005.73646
SOSTDC1,1.055278747,0.704059448,0.839220535,86125.20353,268915.9768
NPTX1,1.011931852,0.933398108,0.968238349,17654.38503,325541.5421
ZNF440,0.869653591,0.32471287,0.552439274,62187.14737,34628.77202
GAA,0.841330619,0.235529507,0.464110221,732878.0846,410645.3317
CANT1,0.9632308,0.792821405,0.890827955,855160.2453,603259.4377
KCNK3,1.592021054,0.001523326,0.042334465,29681.03285,118330.3554
CHST11,0.751289851,0.045274524,0.196492038,112593.2235,75085.3207
PGAM1,1.154223899,0.310889837,0.539836375,327497.1712,120125.0075
CHD7,1.056656726,0.69779191,0.835787813,59724.56264,47635.45259
KRT19,0.805691767,0.132077142,0.340371045,15384516.11,14025253.08
KRT15,0.908395779,0.496450851,0.697681538,775210.9489,1644908.008
CLCN5,1.284629543,0.077464208,0.260563385,24274.16912,16966.02204
TPPP,1.406646691,0.017364282,0.122905421,44903.77671,54021.52585
KCND3,0.984303481,0.91099232,0.955076416,72890.37532,93058.92417
KRT13,0.968180028,0.819442109,0.906334461,92130.45368,892455.9629
KRT9,1.179347628,0.246276189,0.473977184,4496.092259,22215.54161
PDE7B,1.194010752,0.214125959,0.440232775,16553.00775,18426.17286
NAT1,0.714246226,0.018845211,0.127360486,970336.2558,1748602.129
KRT20,1.114900692,0.442052128,0.654695058,26498.68129,431249.3908
MCC,1.328449874,0.047923364,0.201161649,87904.20366,60747.65668
CDK5R2,0.903442435,0.473498156,0.680794388,6931.679842,72563.86134
POLR1C,0.778743353,0.079804633,0.265335039,222689.2328,120332.5642
ASXL1,1.165283067,0.283340059,0.514186859,201247.6448,62200.74113
DLK2,0.82092263,0.162933534,0.381575399,23352.77528,27732.33076
ZNF562,1.047380896,0.744479863,0.862613836,75382.1339,34909.07973
ZNF318,1.076526092,0.603805204,0.773487455,105735.1174,50039.81278
WIPF2,0.91117039,0.510566501,0.708641118,269423.2382,296723.0136
HOPX,0.746522484,0.040949016,0.188010882,35491.63905,38144.25994
RSL1D1,0.914911008,0.529493362,0.723081282,840568.3836,305796.5979
LRRC8D,0.686659934,0.008245791,0.085859917,200787.3342,158882.7007
PPID,1.142771901,0.34512891,0.570215033,314133.332,109565.0462
ETFDH,1.317566921,0.053683442,0.2127103,123872.9411,66513.04435
LPAR3,1.005665527,0.968171733,0.984634011,28327.40995,57941.39601
PTGER4,1.034007029,0.814085138,0.903633755,66230.94838,55289.04512
TBCA,0.858361641,0.285124622,0.515219366,593254.1952,260417.5065
NEUROD2,1.272443228,0.090962787,0.280823806,1750.383713,35955.85229
ECEL1,0.819170586,0.158504417,0.374615815,68844.66801,1054936.165
BCL2L1,0.722491779,0.023481656,0.142007097,746915.4284,310893.4251
FGG,0.980923165,0.891747687,0.946039097,102126.4177,1357305.88
FGB,1.071509178,0.624914091,0.787346164,164064.2065,2106538.858
RAB4B-EGLN2,0.907428135,0.492245421,0.694869657,249.032701,305.1647123
DSCAM,1.010479096,0.941369555,0.9720866,1195.223897,7242.602504
DNAI2,0.937251073,0.646933678,0.802049148,697.5954482,3618.732795
NMUR1,1.054541492,0.7083877,0.841960753,8397.973393,22282.91999
CLSTN1,1.155801231,0.309001773,0.53845585,1128939.871,479402.4446
ZNF274,0.913638198,0.524717334,0.719930525,72715.62115,43404.5656
PIK3CD,1.011713406,0.934752647,0.968729082,71074.29466,63277.7753
PTCRA,0.821878967,0.171235329,0.391242468,4276.810911,6413.92378
ENC1,1.211249354,0.175240166,0.39589523,310981.8927,209063.2622
SPSB1,0.963641875,0.793655871,0.891273834,267967.1669,161507.9978
P2RY6,0.89162494,0.419696448,0.636281711,32335.67158,42157.38313
BPTF,1.078281639,0.595585511,0.768088179,193616.2189,138631.9057
PLEKHG5,1.03633633,0.801125788,0.896326668,59526.41246,41858.46894
ATF7IP,1.273731541,0.094394255,0.28549716,209403.0385,86605.78828
RGS19,0.745738631,0.042228008,0.190790972,213567.8246,125931.5686
TCEA2,0.685565135,0.008857072,0.088661795,159089.9285,124715.4549
HDAC3,1.01244729,0.930333147,0.966005265,270760.7754,72528.07279
GPHN,1.04809051,0.739880628,0.85970943,82386.83912,57465.22576
TMEM51,0.889271027,0.407449257,0.626673545,174452.4809,113761.2358
CAMTA1,1.059463758,0.684502228,0.827246569,73289.34272,31463.69203
LGALS4,1.130205395,0.390364933,0.612440628,4528.380924,10130.60114
PAH,1.038158429,0.790983423,0.890086438,6659.734956,36806.72616
SPATA5L1,1.080493061,0.583842791,0.760619286,69608.71678,29304.0034
GATM,1.455471277,0.009103046,0.090202228,108464.9073,104871.0665
NHLH1,1.296668267,0.068225151,0.243083326,2570.668725,2837.901805
BCL2,0.980737595,0.890541915,0.945277128,289920.5704,247654.5574
CTPS1,0.940153551,0.663059105,0.813132108,155509.4043,142667.8892
METTL18,0.820239135,0.162653203,0.381068716,189060.1514,83335.72688
CFAP46,0.792701611,0.100694207,0.29553102,4115.199627,5772.294499
COL8A2,0.80206923,0.123435435,0.329189539,342021.6688,324937.1794
PCDHB1,1.368263541,0.029700151,0.159859807,424.4946776,856.2456086
ANGPTL7,1.206053751,0.189108167,0.411293104,14341.37943,44731.33233
EXOSC10,0.844926565,0.234482573,0.463104038,289994.0349,73884.18143
NINJ2,0.805381255,0.130791462,0.338718506,78483.6102,58820.30386
MLLT3,1.208573734,0.182384635,0.403685114,67037.41316,60505.40195
FAM90A1,0.952084018,0.727994448,0.853610561,14499.90323,18020.29994
RRM2,0.758356798,0.05365375,0.212698438,247143.8479,254584.6683
TRAPPC12,0.61892343,0.000997151,0.037056763,99950.73857,33635.85319
IFNB1,0.894247968,0.432109011,0.646185779,1242.421097,3294.704451
RPS21,0.747438564,0.040794945,0.187791147,7546258.032,5886857.489
C3AR1,1.070339482,0.634888505,0.794448518,195693.5323,135418.4276
MRM3,0.807205394,0.134324511,0.343235894,151987.719,73076.72637
PTEN,1.509145358,0.004805289,0.067784293,225832.6719,100300.2192
RPS7,0.922188251,0.569274388,0.750271072,1803927.697,1125771.672
PRND,1.145923755,0.336451338,0.563425446,22612.53266,32347.03239
RNASEH1,1.154319663,0.310493792,0.539620225,126803.5444,57847.18666
PRNP,1.371166745,0.029670049,0.159859807,826810.796,636778.0061
ADRA1D,1.392286885,0.02141626,0.135145052,3750.492722,16238.58797
AQP4,0.924411199,0.581115981,0.758897169,6991.236691,59412.85144
CYP4F11,0.57575553,0.000149041,0.018017563,38586.93317,57261.94042
TLN2,0.819297096,0.159285658,0.375801,67267.49297,69033.08959
TVP23B,1.200158009,0.199364654,0.422976361,104645.3679,51054.14244
ZNF217,0.920887143,0.561002948,0.744616232,536800.1588,425261.3143
SCG2,1.033598826,0.815570598,0.90431072,75593.8732,775862.1741
ATPAF2,0.706670573,0.017810946,0.124316701,66004.80708,32945.09218
FOXB1,0.935867187,0.63942318,0.797645942,372.4507034,3505.663013
PPIH,0.728870805,0.028718683,0.157775128,412874.381,221487.9544
DRC3,0.738933381,0.033262623,0.169381572,29348.66814,28575.29642
JMJD1C,1.563756283,0.002317237,0.049934178,165860.7422,99822.47152
