gene,anomaly_score,hazard_ratio,fdr,mean_expression,log_hazard,anomaly_norm,hazard_norm,fdr_norm,target_score,risk_type
HABP4,0.00015262635,1.42498587814393,0.109715276423157,62519.2365725041,0.3541619035970736,0.00022438190552898148,0.7014613561135051,0.10876737770009157,0.5929183603189425,High-risk (oncogenic)
HSD17B12,0.00018866936,1.43042709119744,0.112615316881927,218955.074738603,0.35797306485328645,0.00027737741791977597,0.7039468096515007,0.11167060162182463,0.5925535854475958,High-risk (oncogenic)
RBFOX1,0.00016426924,1.4252049224316,0.11043577898186,721.276548808718,0.3543156085967929,0.0002415009230932653,0.7015615950196226,0.10948867117645349,0.5923144247662624,High-risk (oncogenic)
INKA2,0.00015577716,1.4251050002803,0.110548742769026,18066.3302751802,0.3542454954132794,0.00022901467039506893,0.7015158706200738,0.10960175896741797,0.5921431263230509,High-risk (oncogenic)
TAL1,0.0001809737,1.42744294964898,0.11184613005612,13785.4154209445,0.35588469652976884,0.0002660621741350493,0.7025848776603357,0.11090057043615216,0.5919503693983186,High-risk (oncogenic)
SGCB,0.0003788689,1.42684212486409,0.111931539116791,243387.570378058,0.35546369808141537,0.0005570355840605456,0.7023103230003236,0.110986073252957,0.5918812853314271,High-risk (oncogenic)
MYO1B,0.00021856943,1.424076505476,0.110955780078432,268233.90467114,0.35352353730222535,0.00032134071427517534,0.7010450447429271,0.11000924309410721,0.591357142363095,High-risk (oncogenic)
CHD9,0.00021114577,1.42761709180443,0.112615316881927,80898.5742587261,0.3560066849665355,0.00031042540321999306,0.7026644325706041,0.11167060162182463,0.5913042563519995,High-risk (oncogenic)
MAN2A2,0.00011201249,1.42146302386031,0.109715276423157,114009.306772177,0.3516866397131306,0.00016466568535569422,0.6998471097029682,0.10876737770009157,0.5912443976882322,High-risk (oncogenic)
CBLB,0.00014979836,1.42359817848926,0.110761919271814,68957.3513702168,0.3531875951428684,0.00022022379611786285,0.7008259596472297,0.10981516948056233,0.5912310139627852,High-risk (oncogenic)
LRCH3,0.00016594859,1.42710603457481,0.112615316881927,69415.6462807355,0.35564864167304955,0.00024397014011297259,0.7024309341928854,0.11167060162182463,0.5910043027111738,High-risk (oncogenic)
DIS3,0.0001549297,1.42484494038418,0.111853618725929,114222.681063674,0.3540629940344789,0.00022776861528117298,0.7013968521196392,0.11090806732650267,0.5907165534084177,High-risk (oncogenic)
CKB,0.018338505,1.39779819511983,0.126302116735395,413879.836671061,0.33489828083086204,0.026963823404270646,0.6888985606451048,0.12537242589341221,0.5904899581559632,High-risk (oncogenic)
LPAR1,0.00012735018,1.42153177879609,0.110761919271814,137236.857222173,0.3517350076775947,0.0001872173185417451,0.699878652930956,0.10981516948056233,0.5902507007689354,High-risk (oncogenic)
CDC14B,0.0001959125,1.42513627533456,0.112615316881927,33208.0658151301,0.35426744096190976,0.0002880273030325415,0.7015301824368194,0.11167060162182463,0.5901476081180274,High-risk (oncogenic)
UBE2B,0.00016566011,1.42335786551645,0.111778322679391,450225.043100927,0.3530187741497332,0.00024354597616510875,0.7007158628272665,0.11083268862519526,0.5901267201782364,High-risk (oncogenic)
CD93,0.00046780446,1.4238930816504,0.112615316881927,362406.787612606,0.35339472706023206,0.0006878011769442212,0.7009610409839231,0.11167060162182463,0.5899782405390427,High-risk (oncogenic)
TGDS,0.0001657231,1.42470498732415,0.112615316881927,99915.5160409423,0.3539647658484894,0.00024363859293949849,0.7013327924863711,0.11167060162182463,0.589905829457486,High-risk (oncogenic)
DNAJB9,0.00017742396,1.42301364464399,0.111892737451516,328550.076923673,0.352776907708259,0.00026084284616676644,0.7005581293276135,0.11094722899390923,0.5898717431798711,High-risk (oncogenic)
PIAS1,0.0001630788,1.42429378321432,0.112615316881927,93435.3250960916,0.35367610014814754,0.00023975057045150485,0.7011445387920299,0.11167060162182463,0.5897136877406568,High-risk (oncogenic)
TJP1,0.00016028216,1.42417340116557,0.112615316881927,203815.031100615,0.3535915760578004,0.00023563855622814805,0.701089416301724,0.11167060162182463,0.5896544532361275,High-risk (oncogenic)
DOCK6,0.00012744151,1.42088577995341,0.111384174817121,74035.692988306,0.35128046583745315,0.00018735160477773518,0.699582222906405,0.11043810809478172,0.5893314664164011,High-risk (oncogenic)
BMP2K,0.00019314788,1.42299205435006,0.112615316881927,38277.1503896854,0.3527617353606154,0.0002839623691253612,0.7005482346622883,0.11167060162182463,0.589161595409589,High-risk (oncogenic)
QPRT,0.00038882945,1.41989442401069,0.11156417930822,166618.945680349,0.3505825195608776,0.0005716809882857789,0.6991270563768813,0.11061831018230696,0.5890804271828601,High-risk (oncogenic)
CLIP1,0.00013737576,1.42114953281399,0.11184613005612,149265.194632233,0.35146607427106574,0.00020195833903683977,0.6997032676764872,0.11090057043615216,0.5890046555793718,High-risk (oncogenic)
AGPAT1,0.00031222575,1.41821507787167,0.110761919271814,461629.695551976,0.3493990935275272,0.00045904743374827755,0.6983552836221201,0.10981516948056233,0.588999161575306,High-risk (oncogenic)
EFCAB14,0.0003140525,1.42201851601082,0.112615316881927,645911.172109201,0.35207735240093074,0.00046173337901921595,0.7001019134666897,0.11167060162182463,0.5888930452238843,High-risk (oncogenic)
GCFC2,0.0002309013,1.43126832305656,0.116740277858138,102230.930358261,0.3585609903740538,0.00033947276732475886,0.7043302260087296,0.1158000906936531,0.5888696080824012,High-risk (oncogenic)
HELZ,0.00017962408,1.42227027744899,0.112615316881927,110517.100842347,0.3522543818498434,0.00026407777262605036,0.7002173634412643,0.11167060162182463,0.5888108395920657,High-risk (oncogenic)
EHHADH,0.00020868375,1.42331475268539,0.113207999741731,62097.9129996704,0.352988484167817,0.00030680539447443093,0.700696109178009,0.11226393508770116,0.5887389794847823,High-risk (oncogenic)
TRIB2,0.0009839792,1.42036357245004,0.113323842093806,310194.645796881,0.3509128757779546,0.0014467540177165413,0.6993424985933958,0.11237990460346323,0.5884093480076491,High-risk (oncogenic)
LEMD3,0.00014202327,1.42086461179826,0.112615316881927,153347.090253505,0.35126556786808055,0.00020879176315406368,0.6995725071772094,0.11167060162182463,0.5881106973185388,High-risk (oncogenic)
AKAP1,0.00018466452,1.42068727476706,0.112615316881927,432324.249573254,0.3511407508395627,0.000271488937799965,0.6994911075973239,0.11167060162182463,0.5880919949132992,High-risk (oncogenic)
NDFIP1,0.00025332178,1.41955434255528,0.112277104907833,634762.097796705,0.35034297908313367,0.0003724385164574634,0.6989708397573585,0.11133201838211952,0.5880112598916966,High-risk (oncogenic)
SNIP1,0.0001609449,1.41996894627002,0.112497401488763,108631.872233753,0.3506350025501136,0.00023661300996777402,0.6991612832233756,0.11155255678933307,0.5878453394440103,High-risk (oncogenic)
PCDHGB3,0.00013266416,1.42018637197981,0.112615316881927,4326.31976288969,0.35078811087402645,0.000195030680770217,0.6992611330066261,0.11167060162182463,0.5877855620655716,High-risk (oncogenic)
CYB5B,0.00016438062,1.41974485400633,0.112615316881927,212477.374916386,0.350477175191502,0.00024166468966465006,0.6990583559157959,0.11167060162182463,0.587629418983636,High-risk (oncogenic)
HERC3,0.0001321339,1.42023568147105,0.112854494149246,80766.6737061725,0.35082283070813347,0.00019425101779533389,0.6992837755894817,0.11191004144133315,0.5875679851659439,High-risk (oncogenic)
SLC25A20,0.00011241669,1.41944637977953,0.112520808581627,226336.121206761,0.35026692219808075,0.00016525999715452452,0.6989212391654823,0.11157598957687763,0.5875105095857592,High-risk (oncogenic)
DELE1,0.00018356502,1.41940585376407,0.112615316881927,221267.843415412,0.35023837121188706,0.0002698722979612368,0.698902619604441,0.11167060162182463,0.5875018902805776,High-risk (oncogenic)
C4BPB,0.00010874959,1.41893088268485,0.112615316881927,8837.21793989063,0.34990368852427345,0.0001598681099761706,0.6986843558748024,0.11167060162182463,0.5871736223629539,High-risk (oncogenic)
PCDHGB1,0.00010763868,1.41873258739768,0.112615316881927,10737.0953770257,0.34976392897238623,0.00015823469354757437,0.698593211509777,0.11167060162182463,0.5870808445815,High-risk (oncogenic)
DKK3,0.0002837776,1.41756299811337,0.112615316881927,303219.95646431,0.3489391987456927,0.00041721895477773156,0.6980553626700079,0.11167060162182463,0.586801980002961,High-risk (oncogenic)
CEBPG,0.00011757837,1.41923864781508,0.113143740583304,314224.273129279,0.35012056431560945,0.0001728494264612699,0.6988257916909866,0.11219960539003382,0.586799035727414,High-risk (oncogenic)
RABL3,0.00011876839,1.41787197067257,0.112615316881927,182143.458664821,0.3491571353683444,0.00017459916155984498,0.6981974903086496,0.11167060162182463,0.5867014878483848,High-risk (oncogenic)
SLC38A2,9.006377e-05,1.41699800172766,0.114731146011972,750764.821955538,0.34854055049418275,0.0001323935842542024,0.6977953837185752,0.1137887533621116,0.5841390239407178,High-risk (oncogenic)
ARHGEF12,0.0001422384,1.41848207208458,0.115787991338986,210256.255142416,0.34958733654367197,0.0002091080775956331,0.6984780465384667,0.11484675882051137,0.5838403957955509,High-risk (oncogenic)
NOS3,9.4394585e-05,1.41597980939813,0.114731146011972,47035.1042236749,0.3478217362702432,0.0001387613587545768,0.6973266081313078,0.1137887533621116,0.5836766161279507,High-risk (oncogenic)
